code,name,city,cityname
AJ,ARJASA,ARJASA,KABUPATEN JEMBER
JR,JEMBER,JEMBER,KABUPATEN JEMBER
RBP,RAMBIPUJI,RAMBIPUJI,KABUPATEN JEMBER
TGL,TANGGUL,TANGGUL,KABUPATEN JEMBER
JTR,JATIROTO,JATIROTO,KABUPATEN LUMAJANG
KK,KLAKAH,KLAKAH,KABUPATEN LUMAJANG
RN,RANUYOSO,RANUYOSO,KABUPATEN LUMAJANG
PB,PROBOLINGGO,PROBOLINGGO,KABUPATEN PROBOLINGGO
PS,PASURUAN,PASURUAN,KOTA PASURUAN
BG,BANGIL,BANGIL,KOTA PASURUAN
SDA,SIDOARJO,SIDOARJO,SIDOARJO
WO,WONOKROMO,WONOKROMO,KOTA SURABAYA
SGU,SURABAYA GUBENG,SURABAYA GUBENG,KOTA SURABAYA
SBI,SURABAYA PASAR TURI,SURABAYA PASAR TURI,KOTA SURABAYA
LMG,LAMONGAN,LAMONGAN,KABUPATEN LAMONGAN
BJ,BOJONEGORO,BOJONEGORO,KABUPATEN BOJONEGORO
CU,CEPU,CEPU,KABUPATEN BLORA
WDU,WADU,WADU,KABUPATEN BLORA
RBG,RANDUBLATUNG,RANDUBLATUNG,KABUPATEN BLORA
DPL,DOPLANG,DOPLANG,KABUPATEN BLORA
MAG,MAGETAN,MAGETAN,MAGETAN
KTG,KETAPANG,KETAPANG,KABUPATEN BANYUWANGI
BBT,BABAT,BABAT,KABUPATEN LAMONGAN
LEC,LECES,LECES,KABUPATEN PROBOLINGGO
PDX,PADANGX,PADANGX,KOTA PADANG
BOP,BOGOR PALEDANG,BOGOR PALEDANG,KOTA BOGOR
SGT,SUNGAI TUHA,SUNGAI TUHA,MARTAPURA
WAP,WAY PISANG,WAY PISANG,KABUPATEN WAY KANAN
NGW,NGAWI,NGAWI,KABUPATEN NGAWI
BWI,BANYUWANGI KOTA,BANYUWANGI KOTA,KABUPATEN BANYUWANGI
GRT,GARUT,GARUT,KABUPATEN GARUT
